GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1992,1992,,EMR,Eastern Mediterranean,,DJI,1992,1992,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.1 [19.9-24.2],22.10000,19.90000,24.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993,1993,,EMR,Eastern Mediterranean,,DJI,1993,1993,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.1 [19.9-24.3],22.10000,19.90000,24.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,EMR,Eastern Mediterranean,,DJI,1994,1994,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.2 [20.0-24.3],22.20000,20.00000,24.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995,1995,,EMR,Eastern Mediterranean,,DJI,1995,1995,Djibouti,,AGE20-PLUS,20+ years,,MLE,Male,,,,,,,,22.2 [20.0-24.4],22.20000,20.00000,24.40000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,DJI,1980,1980,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,21.8 [18.3-25.3],21.80000,18.30000,25.30000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,EMR,Eastern Mediterranean,,DJI,1994,1994,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,22.9 [19.9-25.8],22.90000,19.90000,25.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995,1995,,EMR,Eastern Mediterranean,,DJI,1995,1995,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.0 [20.0-25.9],23.00000,20.00000,25.90000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,DJI,1996,1996,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.1 [20.1-25.9],23.10000,20.10000,25.90000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1997,1997,,EMR,Eastern Mediterranean,,DJI,1997,1997,Djibouti,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,23.1 [20.1-26.0],23.10000,20.10000,26.00000,,,
